# 误差大小（误差越小，数值越接近0）  R=仅PT有  C=仅我有  -=双方无
design          max_in2out    max_in2reg    max_reg2reg   max_reg2out   min_in2out    min_in2reg    min_reg2reg   min_reg2out 
gcd                        -           0.0           0.0           0.0             -      0.009642      0.009793      0.012744
s1238               0.000479           0.0      0.002227           0.0           0.0      0.016193      0.002529           0.0
s1488                    0.0           0.0           0.0      0.001605      0.005443      0.000475      0.053278      0.059452
s44                  9.4e-05           0.0           0.0       7.6e-05        0.0387      0.024033      0.009248      0.001257
s5378                    0.0           0.0           0.0      0.002209           0.0      0.012438      0.031852      0.004722
s713                     0.0           0.0           0.0           0.0      0.007742      0.010901      0.018171      0.003717
s9234                    0.0           0.0           0.0      0.017083      0.006287      0.012438       0.01049           0.0
serdes_top                 -      0.007899      0.056538           0.0             -      0.012565      0.009577           0.0
simple                     -           0.0           0.0           0.0             -      0.014941      0.019112      0.004344
spi                        -           0.0           0.0           0.0             -      0.033193      0.005714      0.002247
ws2811                     -           0.0           0.0           0.0             -      0.010174      0.002858      0.005048
zipdiv                     -           0.0           0.0           0.0             -      0.006937      0.011505           0.0
